Current_question_number,Guidance_URLs,Edited_question_number
C-OG4.7b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG4.7b&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG4.7b
C-CO4.8,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CO4.8&otype=ORS&incchild=1&microsite=1&gettags=1,C-CO4.8
C-OG4.8,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-OG4.8&otype=ORS&incchild=1&microsite=1&gettags=1,C-OG4.8
C-CE4.9,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CE4.9&otype=ORS&incchild=1&microsite=1&gettags=1,C-CE4.9
C-ST4.9,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-ST4.9&otype=ORS&incchild=1&microsite=1&gettags=1,C-ST4.9
C5.1,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C5.1&otype=ORS&incchild=1&microsite=1&gettags=1,C5.1
C5.1a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C5.1a&otype=ORS&incchild=1&microsite=1&gettags=1,C5.1a
C5.1b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C5.1b&otype=ORS&incchild=1&microsite=1&gettags=1,C5.1b
C5.1c,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C5.1c&otype=ORS&incchild=1&microsite=1&gettags=1,C5.1c
C5.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C5.2&otype=ORS&incchild=1&microsite=1&gettags=1,C5.2
C5.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C5.3&otype=ORS&incchild=1&microsite=1&gettags=1,C5.3
C6.1,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.1&otype=ORS&incchild=1&microsite=1&gettags=1,C6.1
C6.2,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.2&otype=ORS&incchild=1&microsite=1&gettags=1,C6.2
C6.3,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.3&otype=ORS&incchild=1&microsite=1&gettags=1,C6.3
C6.4,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.4&otype=ORS&incchild=1&microsite=1&gettags=1,C6.4
C6.4a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.4a&otype=ORS&incchild=1&microsite=1&gettags=1,C6.4a
C6.5,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.5&otype=ORS&incchild=1&microsite=1&gettags=1,C6.5
C6.5a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C6.5a&otype=ORS&incchild=1&microsite=1&gettags=1,C6.5a
C-CG6.6,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CG6.6&otype=ORS&incchild=1&microsite=1&gettags=1,C-CG6.6
C-CG6.6a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CG6.6a&otype=ORS&incchild=1&microsite=1&gettags=1,C-CG6.6a
C-CN6.6/C-RE6.6,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CN6.6/C-RE6.6&otype=ORS&incchild=1&microsite=1&gettags=1,C-CN6.6_C-RE6.6
C-CN6.6a/C-RE6.6a,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CN6.6a/C-RE6.6a&otype=ORS&incchild=1&microsite=1&gettags=1,C-CN6.6a_C-RE6.6a
C-CN6.6b/C-RE6.6b,http://guidance.cdp.net/en/guidance?ctype=ExternalRef&idtype=RecordExternalRef&cid=C-CN6.6b/C-RE6.6b&otype=ORS&incchild=1&microsite=1&gettags=1,C-CN6.6b_C-RE6.6b
